kernel,gamma,regularization,Acc. IN (85%),Acc. OUT (15%),Acc. K2,Acc. K5,Acc. K10
rbf,1.0,1.0,0.909433962264151,0.8981132075471698,0.9058490566037736,0.9067924528301887,0.9067924528301887
rbf,0.5,1.0,0.9054384017758047,0.9018867924528302,0.9037735849056603,0.9024528301886793,0.9022641509433962
rbf,0.01,1.0,0.5911209766925638,0.6188679245283019,0.569622641509434,0.5852830188679246,0.5983018867924528
sigmoid,1.0,1.0,0.2779134295227525,0.3018867924528302,0.2818867924528302,0.2820754716981132,0.2811320754716981
sigmoid,0.5,1.0,0.283684794672586,0.31069182389937106,0.2922641509433962,0.2926415094339623,0.29245283018867924
sigmoid,0.01,1.0,0.5478357380688125,0.5735849056603773,0.5516981132075471,0.5516981132075471,0.5516981132075471
linear,0.5001351698150911,1.0,0.5478357380688125,0.5735849056603773,0.5516981132075471,0.5516981132075471,0.5516981132075471
poly,0.5001351698150911,1.0,0.6346281908990011,0.630188679245283,0.6367924528301887,0.6381132075471698,0.6390566037735849
tree,0.0,0.0,1.0,0.8830188679245283,0.8686792452830189,0.8671698113207548,0.8773584905660379
