epoch,loss,accuracy
1,0.4382619857788086,0.8826333284378052
2,0.18088708817958832,0.9467833042144775
3,0.12418826669454575,0.962933361530304
4,0.09194542467594147,0.9721500277519226
5,0.07298808544874191,0.977233350276947
6,0.057613398879766464,0.982699990272522
7,0.04760697856545448,0.985966682434082
8,0.038833778351545334,0.9884833097457886
9,0.0321761853992939,0.9901333451271057
10,0.02601545862853527,0.9925833344459534
11,0.021237323060631752,0.9938666820526123
12,0.01727098971605301,0.9955666661262512
13,0.013954735361039639,0.9964333176612854
14,0.011444279924035072,0.9971166849136353
15,0.008979865349829197,0.9977499842643738
16,0.007371877320110798,0.998449981212616
17,0.0058967554941773415,0.9987166523933411
18,0.004511685576289892,0.9991833567619324
19,0.005201183725148439,0.9988333582878113
20,0.006571433041244745,0.998033344745636
21,0.0061851367354393005,0.998283326625824
22,0.009409435093402863,0.996833324432373
23,0.006004823371767998,0.9982333183288574
24,0.0022005457431077957,0.9996166825294495
25,0.0007846272783353925,0.9999833106994629
26,0.0003785050066653639,1.0
27,0.00031977560138329864,1.0
28,0.00026028219144791365,1.0
29,0.00022281307610683143,1.0
30,0.00018789562454912812,1.0
31,0.00016989039431791753,1.0
32,0.00015550370153505355,1.0
33,0.00013453594874590635,1.0
34,0.00011706617806339636,1.0
35,0.00010129603469977155,1.0
36,8.938944665715098e-05,1.0
37,7.917703624116257e-05,1.0
38,7.416521111736074e-05,1.0
39,0.024122918024659157,0.9930833578109741
40,0.014359894208610058,0.9949833154678345
41,0.0025581892114132643,0.9994500279426575
42,0.0007732817903161049,0.9999333620071411
43,0.00033395556965842843,0.9999666810035706
44,0.00017818747437559068,1.0
45,0.00014087533054407686,1.0
46,0.00011717568850144744,1.0
47,0.00010110098810400814,1.0
48,8.654855628265068e-05,1.0
49,7.614700007252395e-05,1.0
50,6.668456626357511e-05,1.0
51,5.925086225033738e-05,1.0
52,5.239906386123039e-05,1.0
53,4.6651377488160506e-05,1.0
54,4.118468496017158e-05,1.0
55,3.689965888042934e-05,1.0
56,3.2727111829444766e-05,1.0
57,2.8423770345398225e-05,1.0
58,2.524699448258616e-05,1.0
59,2.286763810843695e-05,1.0
60,1.998011975956615e-05,1.0
61,1.7515892977826297e-05,1.0
62,1.5244458154484164e-05,1.0
63,1.3437790585157927e-05,1.0
64,1.1731132872228045e-05,1.0
65,1.0316514817532152e-05,1.0
66,8.838791472953744e-06,1.0
67,7.848331733839586e-06,1.0
68,6.680681508441921e-06,1.0
69,5.90427043789532e-06,1.0
70,5.133054855832597e-06,1.0
71,0.031320322304964066,0.991266667842865
72,0.004843116272240877,0.9981666803359985
73,0.0016170302405953407,0.9995833039283752
74,0.001178029109723866,0.9997333288192749
75,0.0009926306083798409,0.999666690826416
76,0.0001971891470020637,0.9999833106994629
77,8.779166091699153e-05,1.0
78,5.135379615239799e-05,1.0
79,4.2500902054598555e-05,1.0
80,3.674910112749785e-05,1.0
81,3.165245652780868e-05,1.0
82,2.797225897666067e-05,1.0
83,2.469664832460694e-05,1.0
84,2.1881145585211925e-05,1.0
85,1.93989271792816e-05,1.0
86,1.7209389625350013e-05,1.0
87,1.5348481610999443e-05,1.0
88,1.3610580936074257e-05,1.0
89,1.2137322300986852e-05,1.0
90,1.0806387763295788e-05,1.0
91,9.576509000908118e-06,1.0
92,8.542211617168505e-06,1.0
93,7.636341251782142e-06,1.0
94,6.712422418786446e-06,1.0
95,5.987206805002643e-06,1.0
96,5.363421223592013e-06,1.0
97,4.7072485358512495e-06,1.0
98,4.230083959555486e-06,1.0
99,3.71572605217807e-06,1.0
100,3.2742079838499194e-06,1.0
